15541A0212,RT21023,BASIC ELECTRONICS AND DEVICES,24,34,3
15541A0212,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,19,64,3
15541A0212,RT21025,ELECTRO MAGNETIC FIELDS,27,41,3
15541A0212,RT21026,ELECTRICAL MACHINES-I,18,29,3
15541A0212,RT21027,THERMAL AND HYDRO LAB,25,45,2
,,,,,
15541A0212,RT21028,ELECTRICAL CIRCUITS LAB,24,45,2
15541A0213,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,24,28,3
15541A0213,RT21022,THERMAL AND HYDRO LRIME MOVERS,24,31,3
15541A0213,RT21023,BASIC ELECTRONICS AND DEVICES,27,27,3
15541A0213,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,24,28,3
15541A0213,RT21025,ELECTRO MAGNETIC FIELDS,27,32,3
15541A0213,RT21026,ELECTRICAL MACHINES-I,16,38,3
15541A0213,RT21027,THERMAL AND HYDRO LAB,25,50,2
15541A0213,RT21028,ELECTRICAL CIRCUITS LAB,23,46,2
15541A0214,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,27,37,3
15541A0214,RT21022,THERMAL AND HYDRO LRIME MOVERS,23,38,3
15541A0214,RT21023,BASIC ELECTRONICS AND DEVICES,29,45,3
15541A0214,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,30,37,3
15541A0214,RT21025,ELECTRO MAGNETIC FIELDS,29,33,3
15541A0214,RT21026,ELECTRICAL MACHINES-I,22,8,0
15541A0214,RT21027,THERMAL AND HYDRO LAB,25,49,2
15541A0214,RT21028,ELECTRICAL CIRCUITS LAB,25,49,2
15541A0217,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,25,32,3
15541A0217,RT21022,THERMAL AND HYDRO LRIME MOVERS,28,46,3
15541A0217,RT21023,BASIC ELECTRONICS AND DEVICES,30,48,3
15541A0217,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,28,37,3
15541A0217,RT21025,ELECTRO MAGNETIC FIELDS,29,44,3
15541A0217,RT21026,ELECTRICAL MACHINES-I,25,64,3
15541A0217,RT21027,THERMAL AND HYDRO LAB,24,47,2
15541A0217,RT21028,ELECTRICAL CIRCUITS LAB,25,46,2
15541A0218,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,20,34,3
15541A0218,RT21022,THERMAL AND HYDRO LRIME MOVERS,24,25,3
15541A0218,RT21023,BASIC ELECTRONICS AND DEVICES,24,60,3
15541A0218,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,24,70,3
15541A0218,RT21025,ELECTRO MAGNETIC FIELDS,25,50,3
15541A0218,RT21026,ELECTRICAL MACHINES-I,21,39,3
15541A0218,RT21027,THERMAL AND HYDRO LAB,24,47,2
15541A0218,RT21028,ELECTRICAL CIRCUITS LAB,23,46,2
15541A0219,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,23,25,3
