12541A0423,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,53,4
12541A0423,R42043,SATELLITE COMMUNICATIONS,24,30,4
12541A0423,R42045,OPERATING SYSTEMS,24,58,4
12541A0423,R4204A,TV ENGINEERING,19,38,4
12541A0423,R4204B,PROJECT,50,148,12
12541A0424,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,12,0
12541A0424,R42043,SATELLITE COMMUNICATIONS,18,26,4
12541A0424,R42045,OPERATING SYSTEMS,22,26,4
12541A0424,R4204A,TV ENGINEERING,17,39,4
12541A0424,R4204B,PROJECT,47,140,12
12541A0425,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,10,0
12541A0425,R42043,SATELLITE COMMUNICATIONS,19,28,4
12541A0425,R42045,OPERATING SYSTEMS,23,26,4
12541A0425,R4204A,TV ENGINEERING,20,50,4
12541A0425,R4204B,PROJECT,48,140,12
12541A0426,R42041,CELLULAR AND MOBILE COMMUNICATIONS,21,18,0
12541A0426,R42043,SATELLITE COMMUNICATIONS,23,30,4
12541A0426,R42045,OPERATING SYSTEMS,21,26,4
12541A0426,R4204A,TV ENGINEERING,15,5,0
12541A0426,R4204B,PROJECT,47,144,12
12541A0427,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,47,4
12541A0427,R42043,SATELLITE COMMUNICATIONS,23,26,4
12541A0427,R42045,OPERATING SYSTEMS,20,31,4
12541A0427,R4204A,TV ENGINEERING,15,40,4
12541A0427,R4204B,PROJECT,48,146,12
12541A0428,R42041,CELLULAR AND MOBILE COMMUNICATIONS,0,-1,0
12541A0428,R42043,SATELLITE COMMUNICATIONS,0,-1,0
12541A0428,R42045,OPERATING SYSTEMS,0,-1,0
12541A0428,R4204A,TV ENGINEERING,0,-1,0
12541A0428,R4204B,PROJECT,47,-1,0
12541A0429,R42041,CELLULAR AND MOBILE COMMUNICATIONS,14,0,0
12541A0429,R42043,SATELLITE COMMUNICATIONS,18,14,0
12541A0429,R42045,OPERATING SYSTEMS,23,19,0
12541A0429,R4204A,TV ENGINEERING,14,28,4
12541A0429,R4204B,PROJECT,47,140,12
12541A0430,R42041,CELLULAR AND MOBILE COMMUNICATIONS,20,36,4
12541A0430,R42043,SATELLITE COMMUNICATIONS,23,16,0
12541A0430,R42045,OPERATING SYSTEMS,24,42,4
12541A0430,R4204A,TV ENGINEERING,19,37,4
12541A0430,R4204B,PROJECT,48,146,12
12541A0431,R42041,CELLULAR AND MOBILE COMMUNICATIONS,0,18,0
12541A0431,R42043,SATELLITE COMMUNICATIONS,2,-1,0
12541A0431,R42045,OPERATING SYSTEMS,2,-1,0
12541A0431,R4204A,TV ENGINEERING,0,-1,0
12541A0431,R4204B,PROJECT,47,140,12
12541A0432,R42041,CELLULAR AND MOBILE COMMUNICATIONS,24,59,4
12541A0432,R42043,SATELLITE COMMUNICATIONS,24,37,4
12541A0432,R42045,OPERATING SYSTEMS,24,34,4
12541A0432,R4204A,TV ENGINEERING,18,40,4
12541A0432,R4204B,PROJECT,50,148,12
12541A0433,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,35,4
12541A0433,R42043,SATELLITE COMMUNICATIONS,24,40,4
12541A0433,R42045,OPERATING SYSTEMS,25,37,4
12541A0433,R4204A,TV ENGINEERING,21,39,4
12541A0433,R4204B,PROJECT,48,146,12
12541A0434,R42041,CELLULAR AND MOBILE COMMUNICATIONS,24,30,4
12541A0434,R42043,SATELLITE COMMUNICATIONS,20,35,4
12541A0434,R42045,OPERATING SYSTEMS,22,39,4
12541A0434,R4204A,TV ENGINEERING,18,45,4
12541A0434,R4204B,PROJECT,50,147,12
12541A0435,R42041,CELLULAR AND MOBILE COMMUNICATIONS,23,57,4
12541A0435,R42043,SATELLITE COMMUNICATIONS,22,35,4
12541A0435,R42045,OPERATING SYSTEMS,23,55,4
12541A0435,R4204A,TV ENGINEERING,16,43,4
12541A0435,R4204B,PROJECT,48,146,12
12541A0436,R42041,CELLULAR AND MOBILE COMMUNICATIONS,22,26,4
12541A0436,R42043,SATELLITE COMMUNICATIONS,18,-1,0
12541A0436,R42045,OPERATING SYSTEMS,21,35,4
12541A0436,R4204A,TV ENGINEERING,19,33,4
12541A0436,R4204B,PROJECT,47,144,12
12541A0437,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,28,4
12541A0437,R42043,SATELLITE COMMUNICATIONS,25,43,4
12541A0437,R42045,OPERATING SYSTEMS,25,40,4
12541A0437,R4204A,TV ENGINEERING,20,51,4
12541A0437,R4204B,PROJECT,50,148,12
12541A0438,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,12,0
12541A0438,R42043,SATELLITE COMMUNICATIONS,23,18,0
12541A0438,R42045,OPERATING SYSTEMS,22,4,0
12541A0438,R4204A,TV ENGINEERING,16,40,4
12541A0438,R4204B,PROJECT,48,146,12
12541A0439,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,41,4
12541A0439,R42043,SATELLITE COMMUNICATIONS,21,17,0
12541A0439,R42045,OPERATING SYSTEMS,25,63,4
12541A0439,R4204A,TV ENGINEERING,17,32,4
12541A0439,R4204B,PROJECT,49,146,12
12541A0440,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,46,4
12541A0440,R42043,SATELLITE COMMUNICATIONS,23,37,4
12541A0440,R42045,OPERATING SYSTEMS,23,36,4
12541A0440,R4204A,TV ENGINEERING,18,45,4
12541A0440,R4204B,PROJECT,49,147,12
12541A0441,R42041,CELLULAR AND MOBILE COMMUNICATIONS,25,29,4
12541A0441,R42043,SATELLITE COMMUNICATIONS,24,32,4
12541A0441,R42045,OPERATING SYSTEMS,25,44,4
12541A0441,R4204A,TV ENGINEERING,21,34,4
12541A0441,R4204B,PROJECT,50,148,12
12541A0442,R42041,CELLULAR AND MOBILE COMMUNICATIONS,19,12,0
12541A0442,R42043,SATELLITE COMMUNICATIONS,22,0,0
12541A0442,R42045,OPERATING SYSTEMS,25,32,4
12541A0442,R4204A,TV ENGINEERING,18,-3,0
12541A0442,R4204B,PROJECT,47,144,12
12541A0443,R42041,CELLULAR AND MOBILE COMMUNICATIONS,22,47,4
12541A0443,R42043,SATELLITE COMMUNICATIONS,19,30,4
12541A0443,R42045,OPERATING SYSTEMS,21,61,4
12541A0443,R4204A,TV ENGINEERING,18,46,4
12541A0443,R4204B,PROJECT,50,148,12
12541A0444,R42041,CELLULAR AND MOBILE COMMUNICATIONS,22,45,4
12541A0444,R42043,SATELLITE COMMUNICATIONS,24,46,4
