16541A0330,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0331,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0331,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16541A0331,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16541A0331,R1631034,OPERATIONS RESEARCH,D,3
16541A0331,R1631035,THERMAL ENGINEERING -II,F,0
16541A0331,R1631036,THEORY OF MACHINES LAB,A,2
16541A0331,R1631037,MACHINE TOOLS LAB,B,2
16541A0331,R1631038,THERMAL ENGINEERING LAB,B,2
16541A0332,R1631031,DYNAMICS OF MACHINERY,F,0
